"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Autauga County, AL"	"01001"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	509	57383	887.02	0.01%
	"Autauga County, AL"	"01001"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	553	54087	1022.43	0.01%
	"Baldwin County, AL"	"01003"	"Female"	"F"	"Drug-induced causes"	"D"	21	227352	9.24	0.00%
	"Baldwin County, AL"	"01003"	"Female"	"F"	"Alcohol-induced causes"	"A"	18	227352	Unreliable	0.00%
	"Baldwin County, AL"	"01003"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	2075	227352	912.68	0.04%
	"Baldwin County, AL"	"01003"	"Male"	"M"	"Drug-induced causes"	"D"	40	213904	18.70	0.00%
	"Baldwin County, AL"	"01003"	"Male"	"M"	"Alcohol-induced causes"	"A"	35	213904	16.36	0.00%
	"Baldwin County, AL"	"01003"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	2451	213904	1145.84	0.04%
	"Barbour County, AL"	"01005"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	294	23370	1258.02	0.01%
	"Barbour County, AL"	"01005"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	346	26197	1320.76	0.01%
	"Bibb County, AL"	"01007"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	261	20944	1246.18	0.00%
	"Bibb County, AL"	"01007"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	266	23850	1115.30	0.00%
	"Blount County, AL"	"01009"	"Female"	"F"	"Drug-induced causes"	"D"	10	58694	Unreliable	0.00%
	"Blount County, AL"	"01009"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	689	58694	1173.88	0.01%
	"Blount County, AL"	"01009"	"Male"	"M"	"Drug-induced causes"	"D"	10	56972	Unreliable	0.00%
	"Blount County, AL"	"01009"	"Male"	"M"	"Alcohol-induced causes"	"A"	12	56972	Unreliable	0.00%
	"Blount County, AL"	"01009"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	683	56972	1198.83	0.01%
	"Bullock County, AL"	"01011"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	107	9204	1162.54	0.00%
	"Bullock County, AL"	"01011"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	119	11035	1078.39	0.00%
	"Butler County, AL"	"01013"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	264	20939	1260.81	0.00%
	"Butler County, AL"	"01013"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	271	18189	1489.91	0.00%
	"Calhoun County, AL"	"01015"	"Female"	"F"	"Drug-induced causes"	"D"	12	118487	Unreliable	0.00%
	"Calhoun County, AL"	"01015"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	1479	118487	1248.24	0.03%
	"Calhoun County, AL"	"01015"	"Male"	"M"	"Drug-induced causes"	"D"	27	109395	24.68	0.00%
	"Calhoun County, AL"	"01015"	"Male"	"M"	"Alcohol-induced causes"	"A"	13	109395	Unreliable	0.00%
	"Calhoun County, AL"	"01015"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	1469	109395	1342.84	0.03%
	"Chambers County, AL"	"01017"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	403	34881	1155.36	0.01%
	"Chambers County, AL"	"01017"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	432	31988	1350.51	0.01%
	"Cherokee County, AL"	"01019"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	329	26406	1245.93	0.01%
	"Cherokee County, AL"	"01019"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	386	25822	1494.85	0.01%
	"Chilton County, AL"	"01021"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	487	45113	1079.51	0.01%
	"Chilton County, AL"	"01021"	"Male"	"M"	"Alcohol-induced causes"	"A"	13	43468	Unreliable	0.00%
	"Chilton County, AL"	"01021"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	484	43468	1113.46	0.01%
	"Choctaw County, AL"	"01023"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	181	13422	1348.53	0.00%
	"Choctaw County, AL"	"01023"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	192	12008	1598.93	0.00%
	"Clarke County, AL"	"01025"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	336	25061	1340.73	0.01%
	"Clarke County, AL"	"01025"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	323	22481	1436.77	0.01%
	"Clay County, AL"	"01027"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	175	13571	1289.51	0.00%
	"Clay County, AL"	"01027"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	194	12939	1499.34	0.00%
	"Cleburne County, AL"	"01029"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	189	15136	1248.68	0.00%
	"Cleburne County, AL"	"01029"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	195	14761	1321.05	0.00%
	"Coffee County, AL"	"01031"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	554	52988	1045.52	0.01%
	"Coffee County, AL"	"01031"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	590	51263	1150.93	0.01%
	"Colbert County, AL"	"01033"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	735	57336	1281.92	0.01%
	"Colbert County, AL"	"01033"	"Male"	"M"	"Drug-induced causes"	"D"	11	52667	Unreliable	0.00%
	"Colbert County, AL"	"01033"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	782	52667	1484.80	0.01%
	"Conecuh County, AL"	"01035"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	160	12705	1259.35	0.00%
	"Conecuh County, AL"	"01035"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	214	11639	1838.65	0.00%
	"Coosa County, AL"	"01037"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	131	10644	1230.74	0.00%
	"Coosa County, AL"	"01037"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	153	10734	1425.38	0.00%
	"Covington County, AL"	"01039"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	524	38212	1371.30	0.01%
	"Covington County, AL"	"01039"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	581	35823	1621.86	0.01%
	"Crenshaw County, AL"	"01041"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	179	14237	1257.29	0.00%
	"Crenshaw County, AL"	"01041"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	188	13359	1407.29	0.00%
	"Cullman County, AL"	"01043"	"Female"	"F"	"Drug-induced causes"	"D"	15	84557	Unreliable	0.00%
	"Cullman County, AL"	"01043"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	1005	84557	1188.55	0.02%
	"Cullman County, AL"	"01043"	"Male"	"M"	"Drug-induced causes"	"D"	20	82653	24.20	0.00%
	"Cullman County, AL"	"01043"	"Male"	"M"	"Alcohol-induced causes"	"A"	16	82653	Unreliable	0.00%
	"Cullman County, AL"	"01043"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	1119	82653	1353.85	0.02%
	"Dale County, AL"	"01045"	"Female"	"F"	"All other non-drug and non-alcohol causes"	"O"	519	49891	1040.27	0.01%
	"Dale County, AL"	"01045"	"Male"	"M"	"Drug-induced causes"	"D"	10	48237	Unreliable	0.00%
	"Dale County, AL"	"01045"	"Male"	"M"	"All other non-drug and non-alcohol causes"	"O"	551	48237	1142.28	0.01%
